current_headcount,average_burnout_score,comp_ratio,industry_demand,average_tenure_years,actual_attrition_count
286,77.67,0.9,80.21,4.18,30
239,55.63,1.0,80.35,3.05,17
331,53.67,1.08,67.51,6.0,21
359,96.22,0.97,71.91,4.86,34
386,42.21,1.26,68.08,6.8,16
122,67.7,0.97,100.0,4.41,6
180,58.99,0.97,56.82,5.83,10
352,75.37,1.13,86.1,6.36,24
138,65.17,1.14,90.57,4.79,9
337,71.44,1.02,75.43,1.95,19
225,80.8,0.98,50.72,5.81,22
421,58.02,1.09,41.9,5.5,16
232,84.17,1.14,31.91,4.85,24
458,67.18,1.17,90.2,4.11,27
83,29.43,1.07,70.94,6.95,3
367,99.48,0.96,61.09,7.41,38
226,57.16,0.97,53.9,2.49,8
495,41.13,1.06,65.1,2.73,21
429,77.03,1.1,65.72,4.4,24
382,62.76,0.93,60.47,5.69,18
474,57.48,1.06,57.54,3.51,22
96,66.45,0.85,82.63,9.41,9
387,39.37,0.92,79.43,3.4,21
169,31.31,0.91,66.38,0.98,11
74,62.19,0.91,72.09,1.0,4
377,61.47,1.01,81.02,4.58,26
164,80.46,0.95,90.88,5.86,21
286,67.36,1.17,62.43,5.59,13
318,60.97,1.05,87.15,6.52,27
471,67.92,0.98,69.17,5.61,20
88,74.58,1.04,62.13,4.56,5
344,74.79,0.81,64.34,2.74,26
123,54.94,1.12,65.27,2.13,5
86,58.3,1.02,91.47,2.45,6
242,54.5,0.94,100.0,6.71,21
56,82.05,0.95,67.74,2.05,5
334,82.49,0.9,84.17,4.99,44
71,71.46,1.02,63.13,7.6,2
471,47.43,0.93,56.62,4.65,22
61,47.55,1.26,45.68,4.81,2
99,47.2,1.06,96.58,4.89,7
95,89.57,1.15,77.31,1.34,9
263,58.03,0.84,81.29,3.23,28
254,63.22,0.88,51.26,7.74,23
151,76.13,1.03,79.38,3.26,8
125,100.0,1.0,80.5,8.06,12
463,65.56,0.9,64.38,8.1,40
192,57.6,0.96,75.51,2.9,13
313,70.37,1.01,80.44,5.54,26
432,84.76,1.02,100.0,3.12,55
61,67.97,0.93,60.32,3.86,3
104,90.07,0.98,66.28,6.59,9
108,35.04,0.89,81.29,3.5,11
496,72.23,0.96,92.63,3.95,41
431,76.36,1.02,90.94,7.87,28
277,40.51,0.94,86.01,4.86,20
89,46.19,0.95,82.45,3.55,7
136,44.22,1.14,17.8,5.26,6
365,53.96,1.16,37.08,8.12,21
280,59.56,0.89,44.11,6.82,21
350,70.2,0.92,54.8,4.2,20
129,33.57,1.03,64.81,6.97,7
50,44.12,0.93,43.91,7.31,1
224,60.18,1.21,77.64,5.36,13
157,68.58,0.95,70.88,2.03,8
294,90.74,1.08,60.38,0.5,27
476,72.55,1.21,67.21,6.72,18
283,54.01,1.05,82.0,2.88,18
135,56.09,1.08,45.62,4.4,7
463,100.0,0.99,74.02,6.6,46
196,82.81,1.08,100.0,2.52,20
241,80.08,0.97,76.81,7.37,23
430,70.33,1.09,67.22,3.77,24
414,62.75,1.01,66.54,4.53,16
248,43.4,0.8,91.43,8.92,27
273,45.6,0.94,73.39,3.1,16
479,88.01,1.31,70.66,1.24,53
277,85.76,1.06,81.9,6.21,32
330,69.22,0.88,100.0,4.31,28
324,64.49,0.9,52.59,2.53,19
340,55.74,0.92,73.27,3.07,22
126,50.26,0.98,81.0,2.56,8
120,44.99,1.09,56.76,2.85,5
359,56.32,1.01,79.44,4.78,22
263,70.76,1.13,78.44,2.38,14
170,46.34,0.93,55.63,6.29,7
251,83.72,1.06,83.62,4.01,24
118,72.87,0.93,62.92,5.41,7
209,89.35,0.87,85.05,3.41,29
458,52.94,1.16,100.0,3.39,34
216,89.43,0.93,87.36,6.76,27
122,48.49,0.93,58.27,4.1,5
54,65.5,1.02,57.96,5.76,1
116,35.09,1.04,94.55,2.08,10
335,71.29,1.09,34.08,7.12,19
360,51.28,1.01,100.0,3.89,29
52,46.78,0.89,63.67,6.93,4
198,61.45,0.96,78.5,5.17,10
275,100.0,0.93,46.51,1.43,26
298,37.46,1.05,47.93,0.5,22
468,100.0,1.04,98.04,0.51,66
61,58.42,1.12,81.37,5.7,3
454,61.45,1.07,72.4,3.06,34
338,64.62,1.08,97.8,5.62,23
474,45.32,1.05,89.96,4.38,28
74,63.38,0.99,61.76,5.1,4
69,67.13,0.91,67.12,2.08,3
303,40.15,1.13,92.88,0.5,25
431,55.98,0.94,61.78,3.77,18
420,73.23,0.91,100.0,7.2,26
429,53.85,1.09,40.3,0.5,34
112,58.51,1.13,44.54,7.19,3
278,100.0,1.04,67.96,3.37,23
454,56.81,1.04,40.42,4.87,22
237,73.69,1.0,100.0,3.13,15
245,59.16,1.06,91.83,5.57,19
91,69.82,1.03,74.14,6.78,3
109,62.03,0.96,68.25,4.81,6
296,72.63,1.07,75.99,7.1,19
493,80.16,0.99,57.91,4.35,49
201,73.63,1.0,59.15,2.96,5
277,83.01,0.93,49.06,5.57,28
369,75.78,0.92,67.11,6.4,18
185,74.11,1.13,44.95,3.5,9
127,51.12,1.1,68.94,2.94,5
396,65.86,1.03,100.0,5.52,29
60,81.09,0.92,74.03,6.22,4
163,61.68,0.97,76.15,6.13,9
168,56.25,0.97,80.99,8.76,12
198,45.6,1.02,67.06,3.77,8
397,78.64,1.04,56.97,3.44,22
456,72.42,1.07,100.0,6.65,23
68,66.18,1.1,74.1,2.11,3
235,61.86,0.91,58.39,5.68,15
280,70.92,1.15,88.9,5.87,13
469,43.25,0.89,60.92,2.86,33
69,33.59,0.93,83.43,5.29,4
359,42.12,1.13,58.96,9.62,15
385,67.77,1.07,50.13,4.46,16
207,55.63,1.08,69.86,7.12,12
166,55.26,1.01,99.55,2.22,11
232,51.84,1.08,58.35,4.16,13
362,75.47,1.02,81.54,8.22,21
289,73.18,0.91,76.08,1.75,22
167,90.13,1.01,34.63,5.15,14
475,58.83,1.05,56.17,0.5,20
241,53.01,0.89,68.97,4.91,18
468,89.92,0.95,57.96,5.44,37
80,69.53,0.99,86.26,2.59,4
319,52.4,0.91,63.92,7.64,14
133,64.79,1.11,100.0,1.87,10
56,62.74,0.98,77.03,7.88,3
425,59.35,1.09,51.62,2.28,23
354,72.0,1.0,37.7,6.83,15
376,52.85,1.05,100.0,6.52,17
472,70.69,1.18,68.35,2.84,17
51,64.13,0.89,83.0,7.77,4
125,65.31,0.93,66.34,7.25,5
69,53.01,1.16,75.49,5.22,2
165,59.59,1.05,76.35,4.44,8
93,53.96,0.98,100.0,5.1,5
138,52.8,0.98,42.85,3.97,8
134,54.39,1.1,42.39,0.5,10
317,70.7,0.89,85.78,3.96,31
269,45.75,0.95,59.69,5.1,15
156,80.05,0.94,76.8,3.42,12
207,64.38,0.89,78.57,4.13,18
296,70.85,0.92,59.96,5.62,15
314,63.88,1.02,96.35,2.49,25
444,69.15,1.07,47.81,2.82,22
335,66.69,1.05,53.2,3.37,15
90,53.24,1.06,47.16,8.53,5
157,72.7,1.04,69.52,2.69,8
321,60.24,0.93,79.39,2.49,15
491,56.09,0.81,72.52,6.56,32
191,62.02,1.03,75.64,5.99,8
95,47.92,1.11,67.59,0.5,7
79,63.53,1.14,69.01,3.89,4
159,54.55,1.02,76.34,6.28,7
324,70.51,1.18,65.53,3.8,16
138,60.45,1.07,52.28,3.19,7
313,59.64,1.08,81.18,9.01,20
317,76.93,1.01,93.24,2.65,22
250,68.98,1.06,83.07,9.88,12
125,54.68,0.89,67.8,2.53,9
455,89.18,1.13,100.0,5.98,50
77,40.97,1.07,56.52,4.08,2
410,99.36,1.01,67.89,4.13,35
267,31.88,0.98,76.09,0.5,14
158,43.91,0.99,39.91,6.02,8
98,43.14,1.11,58.45,5.46,7
412,56.29,1.09,72.64,7.16,21
88,79.89,1.19,68.79,3.08,3
157,73.69,1.03,46.36,6.17,5
139,80.44,1.01,57.7,3.08,12
210,32.72,0.93,65.78,2.53,10
427,66.15,1.11,53.75,8.06,16
251,82.64,0.83,74.13,6.02,31
204,74.55,1.02,100.0,5.62,16
317,63.07,0.81,59.03,4.69,25
272,49.58,1.13,67.18,4.16,11
156,92.6,0.93,51.12,2.31,13
403,86.5,0.91,26.88,7.49,38
72,76.9,0.83,96.09,1.18,9
216,81.9,0.87,70.89,3.69,26
370,50.53,0.96,70.99,4.18,13
175,83.2,0.91,74.17,4.71,17
225,93.37,0.95,69.08,2.21,20
124,57.86,0.82,40.98,2.82,9
294,73.41,0.97,83.94,3.83,24
418,70.54,1.02,54.44,4.46,22
446,88.59,1.03,65.62,6.96,35
100,51.9,1.0,43.56,2.27,5
188,35.31,1.07,48.55,4.98,13
188,51.21,1.06,56.92,2.7,11
263,94.41,1.11,61.04,1.95,28
213,56.48,1.17,100.0,3.31,10
295,69.62,0.96,75.38,3.81,16
61,59.46,0.91,70.58,4.4,4
232,43.28,0.92,82.8,3.05,16
298,28.7,1.14,53.37,4.29,17
141,72.82,1.06,81.11,4.68,9
165,62.73,0.9,54.11,2.3,11
374,100.0,1.02,100.0,4.02,44
347,81.52,1.14,96.16,3.44,41
84,79.3,1.05,84.5,5.53,5
281,71.48,1.02,72.9,3.26,14
72,52.7,1.0,37.19,1.23,4
308,56.77,1.11,100.0,3.07,22
211,74.89,1.09,37.85,2.97,8
441,50.9,0.92,60.58,6.8,23
450,66.18,1.0,36.94,6.91,18
386,70.03,1.07,78.12,7.1,18
103,68.14,0.95,86.14,2.55,7
71,72.58,0.9,73.35,4.95,5
61,37.5,1.0,76.7,2.61,2
145,65.23,1.09,74.18,2.57,10
439,77.38,0.91,56.84,3.89,16
460,52.71,1.02,91.2,0.74,35
105,64.02,1.2,100.0,1.84,9
62,52.75,0.94,53.39,5.26,2
330,55.74,0.97,82.32,6.91,22
353,58.25,1.1,63.83,2.51,17
305,43.93,0.86,94.7,3.86,29
378,72.24,1.04,82.59,6.8,28
392,41.69,1.08,77.53,2.7,16
477,81.88,1.15,54.77,4.88,42
301,66.7,0.97,80.29,5.68,18
123,66.52,0.98,50.11,0.5,8
66,61.18,1.04,82.34,5.23,4
370,57.67,1.11,55.53,4.74,24
235,68.47,1.11,66.17,3.12,9
440,57.98,1.01,100.0,2.02,24
65,93.24,1.08,90.55,4.76,7
313,94.15,1.07,83.54,0.5,37
181,69.47,1.06,73.0,5.77,7
477,64.36,1.0,74.61,1.98,30
248,70.08,0.9,77.87,7.33,13
409,59.46,1.11,80.35,4.2,30
487,79.81,0.99,63.6,4.8,20
103,96.34,0.83,55.61,3.1,13
171,57.05,1.02,86.83,3.26,15
446,36.58,1.23,38.86,4.38,27
284,52.42,1.04,70.2,4.87,18
218,48.52,1.0,76.64,3.65,7
68,57.42,0.94,80.7,6.02,5
348,50.08,1.04,70.38,3.22,19
57,54.06,1.1,65.18,1.41,4
93,71.26,1.06,65.85,5.76,3
265,57.65,1.05,97.75,4.63,16
398,52.73,1.21,65.06,3.78,17
297,100.0,0.85,100.0,3.89,41
395,54.92,1.12,58.15,5.31,13
140,81.89,0.97,79.74,5.82,13
474,52.03,1.01,81.69,8.45,25
148,78.89,0.95,65.64,2.28,9
328,56.98,0.96,0.57,5.32,12
90,76.19,0.84,71.84,3.87,5
470,51.03,0.91,68.22,6.3,26
73,50.72,1.04,72.19,6.61,3
118,40.0,1.1,25.85,9.34,6
237,54.86,1.0,48.26,2.33,13
288,47.77,1.15,60.38,6.21,15
406,77.95,1.06,60.79,2.23,26
290,39.2,0.87,34.01,4.77,18
188,60.13,1.23,79.51,4.21,7
406,69.95,1.0,50.88,0.5,29
432,73.02,1.09,63.59,8.09,22
216,72.47,0.96,88.84,3.76,14
389,80.87,1.09,82.67,4.68,33
320,63.88,0.76,72.88,3.7,26
127,42.23,0.96,87.81,5.65,9
388,65.75,0.82,56.9,2.43,30
289,68.65,1.14,50.07,3.94,11
425,49.82,1.0,97.06,4.09,27
424,83.18,1.03,62.61,4.79,30
380,71.13,0.96,44.4,4.28,21
461,54.72,0.98,55.93,6.36,31
246,55.14,1.02,69.19,5.9,14
264,59.6,0.87,61.73,5.02,18
251,50.64,1.04,69.15,4.73,10
461,87.7,0.94,57.14,7.9,36
436,40.08,0.99,41.01,2.66,17
123,52.74,1.04,46.28,5.19,8
452,55.58,1.15,94.96,6.88,36
97,76.67,1.25,100.0,2.54,5
333,86.46,0.86,100.0,4.64,49
132,63.35,1.05,62.29,5.34,5
390,62.89,0.99,86.52,3.63,21
122,68.96,0.85,94.39,6.57,12
294,48.07,1.04,81.36,3.1,18
481,61.31,1.07,41.86,3.76,31
143,89.51,1.05,79.44,4.65,13
223,69.95,0.75,89.55,2.99,19
156,59.91,0.83,75.7,6.12,12
186,79.99,0.98,91.09,5.37,19
156,64.21,0.95,87.19,3.73,10
309,40.03,1.16,60.54,4.44,13
52,51.47,1.17,49.64,3.1,2
462,76.86,1.03,81.41,6.44,30
245,55.82,0.99,85.6,1.25,22
110,80.73,0.95,56.64,6.51,8
411,44.55,0.91,54.65,5.78,19
55,67.63,1.3,77.35,3.87,3
463,72.24,1.21,47.38,5.45,18
190,53.49,1.15,14.78,3.67,10
183,71.16,0.93,89.26,0.5,17
175,54.36,0.87,65.66,3.88,18
255,71.49,0.95,56.79,2.77,9
431,66.69,1.04,28.16,7.33,27
379,30.04,1.15,59.64,3.26,14
190,69.92,1.09,49.72,4.67,7
462,68.83,1.04,69.1,2.47,23
331,63.02,1.02,16.3,5.02,16
256,53.53,0.97,77.28,5.77,13
359,69.21,1.18,77.44,5.28,17
484,83.35,1.03,33.83,7.16,43
474,63.65,1.1,66.31,3.1,22
234,79.11,1.07,79.27,5.22,11
131,83.0,0.95,32.47,5.74,10
369,47.16,1.15,86.22,1.59,28
380,84.34,1.1,65.82,8.72,35
458,87.7,0.83,100.0,6.91,76
367,66.26,1.14,78.2,2.78,23
120,75.47,0.88,96.15,2.3,11
449,73.12,1.14,85.68,5.12,39
475,81.65,0.93,36.0,2.89,49
153,48.66,0.92,62.59,1.69,10
256,78.53,1.21,98.43,4.17,15
328,81.63,1.06,88.53,2.3,36
271,64.21,1.02,39.38,4.21,17
159,71.95,0.86,86.96,2.03,16
328,74.38,1.07,86.33,3.68,21
214,60.01,1.05,59.24,4.63,8
105,82.47,1.01,41.38,3.62,11
126,70.03,1.03,79.39,1.43,9
414,74.19,1.24,46.47,2.35,15
340,64.41,0.99,76.68,7.36,20
340,45.32,1.02,79.68,2.96,15
305,81.07,1.2,89.34,5.16,38
110,91.32,1.13,85.98,2.82,12
202,72.5,0.86,77.35,0.5,21
458,78.28,1.07,70.12,3.62,27
231,73.37,0.98,70.03,1.95,18
231,81.16,0.93,60.29,6.96,24
192,45.19,1.22,66.42,1.96,17
215,58.05,0.9,100.0,2.29,14
342,71.67,1.1,73.43,3.9,17
197,52.46,0.99,60.97,4.89,8
165,77.15,0.89,70.83,9.63,15
305,57.45,1.03,71.5,6.88,14
271,59.69,0.91,29.7,2.0,20
462,69.73,0.98,55.07,4.15,15
407,83.48,0.75,61.77,3.53,43
105,73.78,0.96,58.4,7.24,4
85,73.93,0.94,61.74,2.65,4
424,52.27,1.09,100.0,4.35,24
315,47.51,1.0,41.47,6.06,13
296,64.63,1.0,73.78,2.51,17
275,91.08,0.97,100.0,6.13,31
320,70.53,1.15,77.16,0.5,28
250,15.13,0.85,61.51,6.57,19
488,80.82,0.93,100.0,6.35,53
414,93.56,1.16,100.0,4.18,46
330,42.25,0.91,89.24,4.97,22
180,71.63,0.96,77.61,4.12,9
234,71.68,0.93,86.01,6.98,14
398,57.03,1.05,47.95,5.86,21
432,60.38,1.03,77.5,7.21,24
487,70.78,0.83,57.27,2.64,39
364,73.62,1.03,66.25,0.5,17
238,64.33,0.88,100.0,1.7,31
318,59.52,1.11,85.01,4.76,20
165,59.34,1.2,61.34,5.13,5
362,77.19,1.12,65.63,1.39,24
320,87.98,0.98,74.5,5.47,24
420,71.94,0.95,77.17,3.04,24
270,68.03,1.02,66.03,5.77,16
359,52.72,0.98,60.63,1.15,22
198,66.38,1.03,67.68,4.93,13
77,79.78,1.03,80.67,2.57,4
107,94.14,0.95,28.79,5.66,11
301,60.44,0.94,65.41,1.22,19
259,65.29,1.02,42.23,4.07,11
233,55.39,0.89,75.97,4.39,19
339,45.3,1.09,58.89,2.76,16
154,87.18,0.91,100.0,6.36,16
389,52.92,1.1,57.43,3.86,25
436,58.46,0.92,32.3,4.96,29
343,69.79,1.01,78.3,3.21,21
427,92.33,1.09,72.12,7.03,34
140,93.64,1.08,65.67,6.22,13
54,72.6,0.93,65.03,1.65,4
108,87.75,1.06,71.44,4.08,8
139,66.16,1.07,85.81,1.37,13
269,64.01,1.05,61.39,4.21,13
488,60.48,0.89,74.43,5.79,40
384,63.6,1.13,44.26,1.71,24
139,80.58,1.03,64.19,5.89,12
212,56.67,0.87,79.69,5.42,15
294,31.46,0.95,74.51,8.17,10
352,27.68,0.93,79.07,2.54,17
63,71.7,0.96,80.99,4.65,3
112,67.7,1.05,65.67,3.24,3
481,82.16,0.99,64.15,6.32,42
99,60.67,0.92,100.0,2.79,6
288,68.07,1.05,34.91,3.62,12
401,67.3,1.1,70.28,1.35,29
413,61.16,1.02,83.85,1.96,44
279,94.85,1.04,100.0,3.49,29
399,69.11,1.12,72.81,0.57,23
456,22.35,1.0,76.11,1.27,34
55,60.79,0.98,68.29,7.52,2
438,69.06,1.03,48.56,4.15,28
300,42.97,0.98,42.72,0.96,19
378,71.65,0.88,55.7,2.44,21
461,83.92,1.02,48.9,7.28,40
363,81.25,0.94,58.42,4.05,34
263,57.34,1.05,62.84,4.22,15
103,59.18,0.86,56.17,6.59,9
237,49.25,1.03,68.51,1.03,17
332,88.46,1.04,70.79,2.29,26
112,60.37,0.93,55.76,4.28,4
398,43.37,1.09,51.36,2.06,23
430,70.54,0.81,56.49,5.85,24
324,55.23,0.94,80.55,3.98,28
368,70.13,0.88,34.96,3.72,30
405,38.36,1.09,57.53,5.99,15
378,48.6,0.95,41.44,6.02,14
490,67.15,0.89,79.36,8.66,40
117,20.7,1.09,100.0,3.68,9
230,59.5,1.15,100.0,2.59,16
65,96.56,1.09,80.86,7.44,7
459,39.96,1.02,52.68,0.5,34
230,48.38,0.92,86.6,6.3,17
61,49.91,0.97,69.45,3.76,2
410,71.08,0.87,85.32,2.17,43
234,52.3,1.12,85.59,4.42,15
250,34.61,1.12,79.56,4.38,15
115,86.65,0.78,59.08,2.76,14
334,66.16,1.04,95.63,5.93,16
406,39.97,1.11,66.54,6.04,22
469,54.0,1.09,84.04,6.25,30
197,63.27,1.03,83.05,2.22,16
255,91.02,0.91,93.46,5.83,33
248,68.03,0.98,68.52,6.09,7
332,64.83,1.15,56.86,3.74,17
402,47.72,1.02,72.46,6.35,18
499,82.92,0.84,100.0,3.84,68
261,53.06,0.98,30.75,3.71,7
243,61.14,1.12,92.84,2.92,16
180,77.64,1.12,73.79,2.51,10
292,55.63,1.18,69.99,2.14,15
237,53.69,1.1,98.89,4.42,14
249,54.17,1.26,57.16,2.79,12
260,53.74,1.0,68.52,4.17,13
324,76.35,0.89,86.7,6.33,27
114,65.58,1.04,56.01,6.82,5
358,75.45,0.96,66.89,6.03,21
490,66.44,1.03,74.06,5.49,19
264,43.23,0.93,90.85,0.85,26
458,62.28,0.95,44.99,4.54,13
142,54.71,0.99,91.21,7.53,12
295,57.11,1.02,78.01,4.76,14
440,47.07,0.9,71.3,3.7,25
285,48.23,0.96,53.19,5.85,14
227,54.78,1.02,90.54,6.71,14
483,94.83,1.03,48.18,5.08,48
80,67.51,0.92,73.45,6.9,4
207,80.42,0.93,65.38,5.87,16
302,55.83,1.04,19.36,5.86,15
298,72.93,1.13,86.82,3.79,15
307,78.05,0.87,100.0,4.76,28
220,89.28,0.97,64.71,1.77,22
147,52.74,1.03,97.69,5.39,11
74,60.45,1.0,81.25,3.72,4
228,47.35,1.11,100.0,7.3,17
492,75.43,0.89,67.77,2.89,37
397,58.8,1.06,41.03,6.56,18
398,29.35,0.97,66.04,4.88,17
94,65.14,1.11,100.0,3.47,6
376,67.63,0.87,61.76,4.76,28
61,61.72,1.08,92.33,6.71,4
74,59.99,0.9,54.21,4.7,5
160,91.55,1.18,49.89,3.8,14
298,87.95,1.07,51.51,1.3,31
167,61.8,0.87,80.15,2.63,17
224,51.54,0.87,80.05,3.8,21
282,73.93,1.14,84.9,4.16,19
324,83.31,0.91,100.0,1.0,43
302,72.13,1.03,85.69,8.44,19
175,67.36,1.0,77.97,2.84,6
285,60.74,1.05,100.0,2.42,19
114,44.63,0.9,88.39,6.62,12
195,66.99,0.88,75.27,9.64,12
350,56.95,1.07,58.1,4.43,13
294,83.4,1.14,76.26,5.87,30
126,37.1,0.94,51.43,5.64,5
380,38.96,1.1,51.84,4.63,17
217,68.08,0.9,52.21,7.26,16
50,56.73,1.02,91.49,4.95,3
452,71.63,1.12,49.39,2.78,18
385,57.71,0.94,55.02,5.55,12
183,54.67,1.01,62.23,5.3,10
293,76.24,0.97,70.83,6.96,9
53,85.05,1.12,67.85,6.5,5
307,76.31,0.92,83.49,5.2,18
240,70.04,0.98,53.52,3.06,16
123,65.01,1.2,72.72,4.86,6
369,73.4,1.02,90.09,3.1,28
483,80.82,0.96,66.91,8.35,38
424,35.33,1.0,100.0,2.6,26
364,76.46,1.0,65.52,5.47,20
488,56.75,1.04,94.75,7.26,32
228,71.95,0.92,47.72,5.02,11
240,54.49,1.09,61.41,6.27,12
380,58.95,0.9,70.58,6.48,28
215,64.78,0.99,74.99,3.36,9
263,75.38,1.1,87.45,2.21,20
428,43.96,1.1,68.77,4.42,23
347,57.79,0.87,74.23,4.68,34
432,86.8,0.99,66.99,5.84,46
366,60.78,1.09,63.7,3.36,19
99,48.81,0.88,65.92,3.34,7
128,72.83,1.1,55.41,2.45,6
271,63.67,1.01,44.26,4.72,13
464,46.11,0.98,50.27,4.2,20
435,68.22,0.94,38.93,7.99,27
340,59.27,0.92,78.06,4.9,18
399,76.9,0.99,60.84,4.18,18
234,44.78,1.01,51.09,0.87,16
211,67.24,0.97,67.6,5.98,10
131,49.37,1.01,65.54,2.55,7
488,83.79,0.96,56.15,0.56,54
128,95.63,1.07,92.42,4.57,13
245,64.85,1.03,74.97,1.25,17
383,56.56,0.96,87.11,1.82,35
368,51.52,0.8,75.28,7.88,27
