id,month,date,totalHeadcount,voluntaryAttritionRate,involuntaryAttritionRate,newHires,openPositions,eNPS,trainingHoursPerEmployee,absenteeismRate,revenue,operatingCost,ebitda,netProfit,marketingSpend,rdSpend,overallProductivityScore,csat,nps,marketSharePercentage,projectCompletionRate,carbonFootprintTons,energyConsumptionKwh,complianceScore,securityIncidents,anomalyFlag
"80","Nov 24","2024-11-01","5928","3.57","2.47","10","104","45","3.54","1.47","32833498.00","22655113.62","10178384.38","7939139.82","2298344.86","4596689.72","87","83.82","47","34.65","95.87","2133","358344","93","5","NO"
"81","Dec 24","2024-12-01","5996","3.38","0.70","83","141","53","3.66","3.29","33434295.00","24741378.30","8692916.70","6171970.86","2006057.70","3009086.55","95","82.96","43","18.04","77.18","2129","347027","91","4","NO"
"82","Jan 25","2025-01-01","6069","3.64","0.50","81","136","22","4.82","1.45","33287729.00","25298674.04","7989054.96","6151572.32","3328772.90","4660282.06","81","95.05","31","32.35","91.06","2144","456672","86","1","NO"
"83","Feb 25","2025-02-01","6031","3.33","1.24","14","120","12","2.40","2.64","32798869.00","20663287.47","12135581.53","10800667.56","3607875.59","2623909.52","87","87.94","49","22.99","80.72","2138","510982","87","2","NO"
"84","Mar 25","2025-03-01","6100","1.94","1.75","73","104","58","2.51","3.70","32765782.00","24246678.68","8519103.32","7582001.95","2621262.56","4914867.30","89","96.81","37","26.55","89.20","2126","391184","98","1","NO"
"85","Apr 25","2025-04-01","6120","1.61","1.30","17","139","15","3.40","1.02","33496532.00","24452468.36","9044063.64","7416132.18","2009791.92","3014687.88","78","89.15","31","34.92","85.94","2114","469308","95","1","NO"
"86","May 25","2025-05-01","6107","1.80","1.79","24","76","55","1.14","3.39","33742913.00","22607751.71","11135161.29","8128667.74","3711720.43","3036862.17","79","80.10","64","22.18","87.41","2123","382140","94","5","NO"
"87","Jun 25","2025-06-01","6176","3.06","0.58","22","47","30","1.76","1.57","33509232.00","25131924.00","8377308.00","6450527.16","2345646.24","3350923.20","88","88.75","34","20.26","82.19","2130","391920","96","0","NO"
"88","Jul 25","2025-07-01","6249","2.84","1.69","74","23","16","3.90","3.94","34088178.00","25566133.50","8522044.50","6561974.27","2045290.68","4090581.36","91","97.92","35","23.23","78.49","2142","456246","95","4","NO"
"89","Aug 25","2025-08-01","6221","1.53","1.87","55","50","42","2.15","4.00","33632692.00","21188595.96","12444096.04","9955276.83","3699596.12","3699596.12","86","82.14","54","30.46","86.85","2135","405650","91","2","NO"
"90","Sep 25","2025-09-01","6277","3.91","1.65","86","83","28","4.46","3.10","33971662.00","22421296.92","11550365.08","10395328.57","2038299.72","3736882.82","84","80.04","62","23.88","96.07","2122","522012","100","5","NO"
"91","Oct 25","2025-10-01","6345","2.27","1.54","69","43","35","2.08","1.85","33836675.00","23008939.00","10827736.00","8012524.64","3383667.50","4060401.00","80","85.37","44","30.92","95.41","2127","395622","86","4","NO"
"92","Nov 25","2025-11-01","6325","1.76","1.01","79","86","37","3.76","1.97","33618816.00","21852230.40","11766585.60","8589607.49","3361881.60","3361881.60","94","97.87","64","17.73","88.98","2139","406410","88","5","NO"
"93","Dec 25","2025-12-01","6351","2.67","0.84","88","128","21","1.50","1.46","33522601.00","20113560.60","13409040.40","10593141.92","2011356.06","4693164.14","75","91.68","38","21.75","92.56","2120","343440","92","1","NO"
"94","Jan 26","2026-01-01","6385","3.49","0.93","31","132","25","2.35","1.25","34307158.00","25044225.34","9262932.66","6947199.50","2401501.06","3087644.22","80","98.22","39","33.14","95.24","2109","343767","96","5","NO"
"95","Feb 26","2026-02-01","6428","1.62","1.45","50","47","57","1.72","3.25","34087848.00","24202372.08","9885475.92","7414106.94","3067906.32","3749663.28","88","85.60","34","32.91","79.61","2098","331484","93","2","NO"
"96","Mar 26","2026-03-01","6475","2.38","1.64","86","89","47","2.73","2.72","34596584.00","25947438.00","8649146.00","7438265.56","4151590.08","4843521.76","90","80.92","53","21.22","95.20","2094","387390","86","4","NO"
"97","Apr 26","2026-04-01","6523","1.56","1.25","50","31","33","2.03","1.73","34903239.00","26177429.25","8725809.75","6282583.02","3490323.90","4537421.07","93","93.20","35","30.04","80.26","2099","392513","87","1","NO"
"98","May 26","2026-05-01","6589","3.68","2.45","20","73","42","2.63","3.90","35655181.00","21393108.60","14262072.40","10553933.58","2495862.67","3565518.10","96","91.34","46","20.20","84.32","2092","324260","95","0","NO"
"99","Jun 26","2026-06-01","6666","3.13","2.27","61","132","51","4.28","2.94","35620601.00","25646832.72","9973768.28","8278227.67","3918266.11","3562060.10","92","89.47","60","18.37","96.17","2076","334236","94","3","NO"
"100","Jul 26","2026-07-01","6700","2.93","0.60","34","45","43","4.47","3.78","35153363.00","26365022.25","8788340.75","6854905.79","2812269.04","4218403.56","95","97.51","38","27.12","80.56","2081","328798","98","2","NO"
